Country Name,CO2 emissions (metric tons per capita),Total greenhouse gas emissions (kt of CO2 equivalent),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),Population (total),Urban population growth (annual %)
Gabon,2.8599293083128834,34570.626576672,89.61324106852214,80.27534360716342,21.675170706028535,3.2789303704888177,1941458.5714285714,3.8127661300387925
The Gambia,0.2375608762208937,3529.2315295618105,53.241040420532215,53.5750676993098,4.108241382414167,3.00052376139037,2088822.7142857143,4.187734304794913
Georgia,2.264685343070823,14627.749294306499,99.98504002888997,31.056843001249703,8.332398102982575,-0.0970810336472108,3725391.5714285714,0.579726962082941
Germany,9.159764523890574,951716.7110654891,100.0,12.92233635246595,37.727948677490936,0.4644827524061485,81667733.14285715,0.4925969246801672
Ghana,0.5125787606665193,107784.294435056,75.39650293986004,43.7472338713247,15.058253198938331,2.27341181246594,27864041.85714286,3.5148561292527054
Gibraltar,14.65810871368683,473.005729316361,100.0,0.0,30.505614545080334,0.04498104753768108,33711.71428571428,0.04498104753768108
Greece,6.587986405525377,100571.170745123,100.0,15.852258882468426,35.13089390888413,-0.4937166265244191,10854548.0,-0.05164187133775888
Greenland,9.59914974857017,NaN,100.0,13.975745142990824,41.1424015675448,-0.21887941536522115,56297.71428571428,0.12448603238644705
Grenada,2.52054697359644,726.1854197409931,92.31947199503584,11.05649017441575,9.641672115497387,0.6098782440073418,109529.42857142857,0.77360609263338
Guam,NaN,85.86945849814471,100.0,0.0,22.286091785492598,0.5334608630666972,162324.57142857142,0.6229496307153094
Guatemala,0.9364112692978889,31515.4501791152,89.2869328762207,63.687331097794676,23.94858605216953,2.0436253602755525,16255439.142857144,2.7176857400180885
Guinea,0.22436742981354166,101348.988273839,30.91257718404133,77.42175537281743,33.99079599093026,2.5011178151989886,11478314.57142857,3.3874094941355426
Guinea-Bissau,0.15790615636917435,7604.734497316229,18.958049011230468,87.23514780191003,16.661769036898,2.5948577785326967,1738252.7142857143,3.566811268155871
Guyana,2.60772632611615,6140.68725152308,87.76622492472332,25.94927079148555,8.738324539219299,0.5034660478075959,767298.1428571428,0.6145469488919415
Haiti,0.24271730467209798,8835.46690838767,40.16468633015952,79.98982692469119,1.3899219871186002,1.3780536148627858,10691666.42857143,3.249141640414564
Heavily indebted poor countries (HIPC),0.2558885266133793,4654824.49416924,36.64238878532805,77.83766809221274,17.900334640943665,2.82677076193823,719057026.5714285,4.154619850630995
High income,11.001464275615433,16181386.134522699,99.97866991800485,10.856999302469374,14.856536607240132,0.5671403528053162,1190877265.0,0.7833967774107171
